ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
beetle,Are beetles insects?,Yes,easy,easy,S08_set1_a8,"['435', '434', '464']",Yes.,Beetles are a group of insects which have the largest number of species. 
beetle,Can beetles be found in polar regions?,No,easy,hard,S08_set1_a8,"['435', '464', '465']",No,"Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. "
beetle,Do beetles antennae function primarily as organs of smell?,Yes,easy,easy,S08_set1_a8,"['444', '448', '460']",Yes,"Beetles' antennae are primarily organs of smell, but may also be used to feel out a beetle's environment physically. "
beetle,What are the three sections of a beetle?,"the head, the thorax and the abdomen",medium,medium,S08_set1_a8,"['438', '464', '442']","The three sections of a beetle are the head, the thorax, and the abdomen.","Like all insects, beetles' bodies are divided into three sections: the head, the thorax, and the abdomen"
beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,medium,easy,S08_set1_a8,"['458', '457', '365']",Mimicry.,Another defence that often uses colour or shape to deceive potential enemies is mimicry. 
beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,medium,easy,S08_set1_a8,"['467', '435', '470']",Colorado potato beetle.,"* The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants. "
beetle,How can beetle larvae be differentiated from other insect larvae?,"Hardend, often darkenend head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium,S08_set1_a8,"['451', '453', '450']","The beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body.","* The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants. "
beetle,What do beetles eat?,"Plants, fungi break down animal and plant deris and eat other invertebrates",hard,hard,S08_set1_a8,"['435', '460', '461']","Beetles eat plants, fungi, animals, other invertebrates, and organic matter.","They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates"
beetle,What are the similarities between beetles and grasshoppers?,Mouthparts,hard,medium,S08_set1_a8,"['435', '451', '442']",Mouthparts similar to those of grasshoppers.,Beetles have mouthparts similar to those of grasshoppers. 
beetle,Are certain species of beetles considered pests?,Yes,easy,easy,S08_set1_a8,"['435', '434', '460']",Yes,"Many agricultural, forestry, and household insect pests are beetles. "
beetle,Is a beetle's general anatomy uniform?,Yes,easy,medium,S08_set1_a8,"['438', '464', '440']",No.,"The general anatomy of beetles is quite uniform, although specific organs and appendages may vary greatly in appearance and function between the many families in the order. "
