ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['44', '49', '50']",Yes.,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles."
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['50', '49', '55']",Yes,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['55', '58', '56']",Yes.,Even large pythons are potential prey for leopards.
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['50', '53', '46']","What may a leopard be mistaken for?
A leopard may be mistaken for a cheetah or a jaguar.","One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. "
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['71', '72', '46']",Pumapard.,A pumapard is a hybrid animal resulting from a union between a leopard and a puma
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['57', '53', '63']",In dense vegetation.,"Leopards often hide their kills in dense vegetation or take them up trees,"
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['47', '44', '46']","Early naturalists distinguished between leopards and panthers by the length of the tail, with panthers having longer tails than leopards.","Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards."
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['44', '51', '53']","Colloquially, dark leopards are known as ""Black Panthers"".","Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers."
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['66', '51', '68']",Rosettes.,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  ."
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['44', '86', '50']",Yes.,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar."
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['44', '46', '50']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar."
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['44', '50', '53']",No.,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar."
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['52', '85', '50']",Sub-Saharan Africa and parts of Asia.,"Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. "
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['49', '299', '64']",60-110 cm.,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm"
leopard,How much does a leopard weigh?,28 to 90kg,medium,medium,S08_set1_a2,"['49', '58', '55']",Leopards weigh 37 to 90 kg.,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.
leopard,Does a male leopard weigh more than a female leopard?,Yes,hard,medium,S08_set1_a2,"['49', '58', '55']",Yes,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.
leopard,What is the difference between leopards and cheetahs?,Rosettes rather than spots and less lanky.,hard,hard,S08_set1_a2,"['50', '44', '46']",Leopards and cheetahs can be distinguished by the leopard's rosette markings versus the cheetah's simple spots.,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. "
leopard,How does the distribution size of the leopard compare to the distribution of other wild cats?,The largest,hard,hard,S08_set1_a2,"['52', '50', '49']",The distribution size of the leopard is larger than most other wild cats.,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
leopard,What resembles that of the similarly-sized cougar in the Americas?,Ecological role,,medium,S08_set1_a2,"['362', '47', '46']",The leopard.,Its ecological role resembles that of the similarly-sized cougar in the Americas.
leopard,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium,S08_set1_a2,"['234', '466', '465']",Not specified.,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae."
leopard,What sort of cats are solitary?,Leopards,,hard,S08_set1_a2,"['53', '45', '54']",Leopards are solitary.,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  "
leopard,Are leopards circular?,"Ther rosettes are circular, yes",,easy,S08_set1_a2,"['50', '53', '66']",No,They are circular in East Africa but tend to be square in southern Africa.  .
leopard,Is the leopard solitary?,Yes,,easy,S08_set1_a2,"['53', '63', '44']",Yes,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  "
leopard,What centred in Sierra?,Leopard men,,medium,S08_set1_a2,"['1186', '928', '840']",Not specified,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire."
leopard,Felis pardus was what?,"One of many species described in Linneaus's work, Systema Naturae",,medium,S08_set1_a2,"['47', '1169', '65']",Felis pardus was a species.,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae."
leopard,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,,easy,S08_set1_a2,"['84', '117', '106']",Yes.,The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards.
leopard,Were the Leopard men a West African secret society who practised cannibalism ?,Yes,,easy,S08_set1_a2,"['79', '63', '86']",Yes.,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire."
leopard,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,,easy,S08_set1_a2,"['73', '44', '69']",No,The leopard tank was a German designed tank which entered service in 1965.
leopard,Is the black color heritable and caused by only one recessive gene locus ?,Yes,,easy,S08_set1_a2,"['51', '66', '68']",Yes,The black color is heritable and caused by only one recessive gene locus. 
leopard,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,,easy,S08_set1_a2,"['44', '47', '46']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. "
leopard,Can a panther be any of several species of large felid?,Yes,,easy,S08_set1_a2,"['47', '44', '45']",Yes.,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards"
leopard,Is the leopard an agile and graceful predator?,Yes,,easy,S08_set1_a2,"['49', '53', '63']",Yes.,The leopard is an agile and graceful predator. 
