ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
polar_bear,Is polar bear a mammal?,Yes,easy,easy,S08_set1_a4,"['164', '130', '131']",Yes,"A semi-aquatic marine mammal, the polar bear has adapted for life on a combination of land, sea, and ice,  and is the apex predator within its range.  Polar Bears International  It feeds mainly on seals, young walruses, and whales, although it will eat anything it can kill."
polar_bear,Is polar bear a carnivore?,Yes,easy,easy,S08_set1_a4,"['164', '130', '151']",Yes,"The polar bear (Ursus maritimus) is a bear native to the Arctic. Polar bears and Kodiak bears are the world's largest land carnivores, with most adult males weighing 300-600 kg (660-1320 lb); "
polar_bear,What is largest polar bear on record?,2200 lb,medium,medium,S08_set1_a4,"['130', '164', '166']",Not specified,"The largest polar bear on record was a huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960."
polar_bear,What is polar bear's skin color?,Black,medium,easy,S08_set1_a4,"['164', '137', '136']",Black.,"Its fur is hollow and translucent, but usually appears as white or cream colored, thus providing the animal with effective camouflage.  Its skin is actually black in color. "
polar_bear,How long is polar bear's guard hair?,5-15 cm,medium,medium,S08_set1_a4,"['139', '137', '164']",5-15 cm,The guard hair is 5-15 cm over most of the body of polar bears
polar_bear,What is cause of polar bear's skin diseases?,mites or other parasites,hard,medium,S08_set1_a4,"['140', '156', '164']",Not specified.,The bears sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites
polar_bear,Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced.",hard,too hard,S08_set1_a4,"['164', '130', '143']",Not specified.,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006.    Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced"
polar_bear,What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.,hard,medium,S08_set1_a4,"['142', '104', '121']","According to the provided chunks, fossil and DNA evidence tell us about the divergence and evolution of polar bears (e.g. around 200 thousand years ago) and the age of penguin ancestry (estimated at around 70-68 million years ago).","According to both fossil and DNA evidence, the polar bear diverged from the brown bear roughly 200 thousand years ago. "
polar_bear,Does a polar bear live in the Arctic?,yes,easy,easy,S08_set1_a4,"['164', '147', '149']",Yes,The polar bear (Ursus maritimus) is a bear native to the Arctic
polar_bear,Is a polar bear white in color?,yes,easy,medium,S08_set1_a4,"['164', '136', '137']",No.,"ts fur is hollow and translucent, but usually appears as white or cream colored,"
polar_bear,Is a polar bear at high risk of extinction?,yes,easy,easy,S08_set1_a4,"['132', '163', '162']",Yes,The polar bear is a vulnerable species at high risk of extinction. 
polar_bear,How heavy is a male polar bear?,300-600 kg (660-1320 lb),medium,medium,S08_set1_a4,"['134', '130', '164']",350-650 kg (770-1500 lb),"Polar bears and Kodiak bears are the world's largest land carnivores, with most adult males weighing 300-600 kg (660-1320 lb); "
polar_bear,How heavy was the largest polar bear on record?,1002 kg (2200 lb) ,medium,medium,S08_set1_a4,"['134', '130', '164']",1002 kg (2200 lb),"The largest polar bear on record was a huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960."
polar_bear,What does a polar bear's fur provide?,It provides the animal with effective camouflage.,medium,medium,S08_set1_a4,"['136', '137', '164']",Camouflage and insulation.,"Its fur is hollow and translucent, but usually appears as white or cream colored, thus providing the animal with effective camouflage.  "
polar_bear,Do female polar bears weight more than the male?,no,hard,medium,S08_set1_a4,"['134', '130', '150']",No.,"Polar bears and Kodiak bears are the world's largest land carnivores, with most adult males weighing 300-600 kg (660-1320 lb); adult females are about half the size of males. "
polar_bear,How much weight do female polar bears gain during pregnancy?,They gain double their weight.,hard,medium,S08_set1_a4,"['159', '134', '130']",200-400 kg,"Adult females are roughly half the size of males and normally weigh 150 250 kg (330 550 lb), measuring 2 2.5 m (6.6 8.2 ft), but double their weight during pregnancy.  "
